ResponseId,StartDate,Finished,Duration_secs,Role_code,Role_label,Role_original,Tools_text,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_usage,Q22_openness_self,Q23_positive_effect,Q24_team_openness,Q25_difficulty,BirthYear,Age_2022,YrsAtOrigin,YrsInEnergy,Education_code,Education_ordinal,Education_label,Gender_code,Gender_label,domain_Data_Analytics,domain_Comm_Collab,domain_Safety_Security,domain_Ethics_Responsibility,domain_Digital_Innovation,domain_Coding
R_2BbSl1p27yEo3LP,2022-11-15,1,186,4,Corporate,Corporate,"Microsoft Excel, Word, or PowerPoint",1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,1981,41,12.0,12.0,3,4,Master's,1,Male,2.25,1.75,3.6667,3.6667,2.3333,3.0
R_1mWvYYHCrqpFgN3,2022-11-15,1,302,6,Graduate,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,1982,40,3.0,3.0,2,3,Bachelor's,2,Female,6.0,5.75,6.0,5.0,6.0,6.0
R_3qQJmgnpXcdl7Rv,2022-11-15,1,369,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint,Other",1.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,1982,40,1.0,15.0,2,3,Bachelor's,1,Male,2.75,3.0,3.3333,2.6667,2.3333,3.0
R_6Dv39jxZfhPI1Dr,2022-11-15,1,423,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Other",4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,5.0,5.0,3.0,2.0,1976,46,8.0,11.0,2,3,Bachelor's,1,Male,4.5,4.5,4.3333,2.6667,3.0,5.0
R_1hLUezy962U76yh,2022-11-15,1,497,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,Python or R,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",2.0,2.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,2.0,3.0,1988,34,5.0,12.0,2,3,Bachelor's,2,Female,2.75,3.75,5.0,3.0,2.3333,3.0
R_R80pOIMorCUa6dj,2022-11-15,1,385,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,1990,32,10.0,12.0,7,2,Trade/professional cert,1,Male,4.0,4.75,5.0,3.6667,3.3333,2.0
R_DP1UNmU1tihnWfv,2022-11-15,1,388,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT),Other",2.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,2.0,2.0,1978,44,9.0,12.0,3,4,Master's,1,Male,4.5,4.5,3.3333,2.3333,2.6667,2.0
R_2qjvRjBL6s2bHH7,2022-11-15,1,563,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",1.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,1987,35,1.0,11.0,3,4,Master's,1,Male,3.5,3.5,5.0,5.0,3.3333,2.0
R_2rBMY6396qgxtnX,2022-11-15,1,588,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,4.0,3.0,3.0,1966,56,18.0,18.0,7,2,Trade/professional cert,1,Male,2.75,3.25,3.3333,1.6667,1.6667,1.0
R_3fqrqH7IqGIkBBw,2022-11-15,1,394,6,Graduate,Commercial,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire",2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,5.0,5.0,4.0,,1984,38,0.5,0.5,3,4,Master's,2,Female,2.75,3.5,4.0,4.0,2.3333,1.0
